species,strain,treat,day,density,aspect_ratio,size,speed,linearity
Tetra,Tetra_2,C,4.8,5954.34939759036,1.52335698447894,1.826242526380225,29.0707583148559,0.443888462104447
Tetra,Tetra_2,C,5.1,8300.02409638554,1.61519319390287,1.8484264198639593,22.2924104927331,0.258576592747833
Tetra,Tetra_2,C,5.8,5841.10843373494,1.48349673202614,1.783180010570163,25.2513562091503,0.451599547383197
Tetra,Tetra_2,C,6.1,6037.19277108434,1.53315032679739,1.8377254470158424,16.5496993464052,0.246688136454808
Tetra,Tetra_2,C,6.8,7417.44578313253,1.60640902366864,1.9023235538801733,36.2382322485207,0.420173065516411
Tetra,Tetra_2,C,11,6773.31325301205,1.47845623416831,2.1048006722562413,12.9734393470307,0.329312803008084
Tetra,Tetra_2,T,1.1,298,1.41929104477612,2.136671002995876,13.6266417910448,0.287095731171526
Tetra,Tetra_2,T,1.8,6202.89156626506,1.55755757748081,2.0127550099108786,17.8454606198465,0.364700836837148
Tetra,Tetra_2,T,2.1,5327.71084337349,1.5581305688828,1.9878269043396464,14.8233533241947,0.304640901812612
Tetra,Tetra_2,T,3.8,10058.6746987952,1.51711555424875,2.0926164020269997,27.8136900911497,0.33522209932414
Tetra,Tetra_2,T,4.1,8244.25301204819,1.59673194221509,2.047389064543366,31.962911717496,0.354686296951632
Tetra,Tetra_2,T,4.8,6973.48192771084,1.51259099933819,1.7827346871306546,26.1419027134348,0.438585892768225
Tetra,Tetra_2,T,5.1,8001.21686746988,1.55309414088216,1.8099154248357656,21.6600032916392,0.299612846442572
Tetra,Tetra_2,T,5.8,7209.03614457831,1.48519823788546,1.7638993115274006,19.0984140969163,0.473241974545957
Tetra,Tetra_2,T,6.1,8129.31325301205,1.56561184445237,1.8301548741928508,16.1423011059579,0.264803311922565
Tetra,Tetra_2,T,6.8,6967.19277108434,1.6057015046767,1.8612003429686779,26.1918218788125,0.381487352649534
Tetra,Tetra_2,T,12,4674.97590361446,1.46539985590778,1.8288959987020588,13.6349981988473,0.379271367357844
Tetra,Tetra_2,T,17.1,2929.6265060241,1.48635444385311,1.8082159693433268,14.1562533262374,0.445468209943442
Tetra,Tetra_2,T,20,2057.48192771084,1.49363304093567,1.7242327399039563,13.4534576023392,0.457692810239154
Tetra,Tetra_2,T,36,3414.12048192771,1.45290685109142,1.7223964855037306,17.8469137670197,0.296042991887701
Tetra,Tetra_2,A,1.1,83.7349397590362,1.55467532467532,2.190665614455548,17.5338961038961,0.25577764981244
Tetra,Tetra_2,A,1.8,778.759036144578,1.39737359550562,2.1940574274851126,17.9824157303371,0.349752546830499
Tetra,Tetra_2,A,2.1,2033.30120481928,1.43864893062076,2.163514374106761,19.1405894627021,0.244864212905833
Tetra,Tetra_2,A,3.1,2673.03614457831,1.53619020979021,1.8036957716368969,31.8385958041958,0.486747935783645
Tetra,Tetra_2,A,3.8,7015.48192771084,1.49320529236022,2.124881040007053,25.56271446863,0.308661224811102
Tetra,Tetra_2,A,4.1,6122.02409638554,1.47767647058824,2.1165758256735296,26.2604901960784,0.374419784626103
Tetra,Tetra_2,A,4.8,5564.85542168675,1.55160975609756,1.8424136291191056,26.401287804878,0.455344756502927
Tetra,Tetra_2,A,5.1,5558.96385542169,1.57263530601922,1.8201292703074958,12.7746990389479,0.323064418147881
Tetra,Tetra_2,A,5.8,6039.18072289157,1.49809036658142,1.795941058641645,20.0785294117647,0.387443105931923
Tetra,Tetra_2,A,6.1,2032.73493975904,1.44297619047619,2.0496979108218545,11.931887755102,0.215824535626144
Tetra,Tetra_2,A,6.8,6392.09638554217,1.58366249420491,1.8937731018560822,28.6542327306444,0.369279923546772
Tetra,Tetra_2,A,8.1,4041.71084337349,1.63200117600941,1.7555117240684242,16.3857565660525,0.345442332455365
Tetra,Tetra_2,A,9,1628.19277108434,1.53989672977625,1.7465046071404147,17.7217039586919,0.368667405011787
Tetra,Tetra_2,A,12.1,4156.34939759036,1.56168858800774,1.8106852858597997,16.3006228239845,0.402788015422112
Tetra,Tetra_2,A,20,4700.09638554217,1.62746877748461,1.8834461930911393,21.0724837291117,0.533832635676995
Tetra,Tetra_2,A,22,1903.71084337349,1.53409056886228,1.80265734974102,20.9279603293413,0.501454241648883
Tetra,Tetra_2,A,36,3711.51807228916,1.58393891312971,1.8033865087097136,28.2483835779453,0.468035602513795
Tetra,Tetra_2,AT,1.1,166.530120481928,1.49348387096774,2.1424552694447785,12.7843870967742,0.300389344402833
Tetra,Tetra_2,AT,1.8,3555.14457831325,1.4187238372093,2.0984124939008946,13.0864912790698,0.312966002209788
Tetra,Tetra_2,AT,2.8,6838.98795180723,1.52604851004851,1.9530774455288595,18.0695176715177,0.218479390224066
Tetra,Tetra_2,AT,3.1,3301.13253012048,1.57843590831919,1.7407471604586335,23.8176740237691,0.459263712914896
Tetra,Tetra_2,AT,3.9,9579.39759036145,1.50211838006231,2.0798764849467224,25.4052554517134,0.355912106719717
Tetra,Tetra_2,AT,4.1,9430.01204819277,1.52104792332268,2.024873240309441,22.2287252396166,0.295985064187042
Tetra,Tetra_2,AT,4.8,6571.33734939759,1.52550796057619,1.7710659224130583,22.6819673995451,0.399442994911061
Tetra,Tetra_2,AT,5.1,8070.86746987952,1.55135640785781,1.7683068515051308,20.3096538821328,0.313578710605231
Tetra,Tetra_2,AT,5.8,7341.72289156626,1.52807181653591,1.7828373737796834,25.5620730235365,0.483527761580933
Tetra,Tetra_2,AT,6.1,6943.66265060241,1.54066338134951,1.8118043605378036,17.930360121304,0.299022041649042
Tetra,Tetra_2,AT,6.8,7185.79518072289,1.60590062111801,1.8102102144449796,24.7131969309463,0.402815346973493
Tetra,Tetra_2,AT,9,2443.24096385542,1.58700751010976,1.7312633677982903,20.3926487579434,0.417645807188937
Tetra,Tetra_2,AT,10,3134.60240963855,1.54916967509025,1.7712627468830164,20.6777933212996,0.380182314167071
Tetra,Tetra_2,AT,12.1,3270.31325301205,1.54402929551267,1.7342189545743265,13.6200883515462,0.400333380602286
Tetra,Tetra_2,AT,16,3128.81927710843,1.56103097659021,1.8013393630921586,15.7744596831402,0.402997215474141
Tetra,Tetra_2,AT,17.1,2225.93975903614,1.56395552560647,1.7694068888204928,16.0720653638814,0.535165198284596
Tetra,Tetra_2,AT,20,778.289156626506,1.55574036511156,1.738931237497887,12.6291582150101,0.45969906984163
Tetra,Tetra_2,AT,22,4595.07228915663,1.51857662835249,2.0421801978109193,15.7994367816092,0.426964465967769
Tetra,Tetra_2,AT,29,1958.79518072289,1.53448341593595,1.72977216107303,18.7629584445292,0.464845987699511
Tetra,Tetra_2,AT,36,2204.81927710843,1.48057566356429,1.7251433768889914,16.416949327818,0.330306332980908
Loxo,Loxo_1,C,3.1,67.3734939759036,1.67863636363636,2.437559838676582,66.4471212121212,0.552266463133563
Loxo,Loxo_1,C,5.1,111.44578313253,1.71073394495413,2.4354501334208924,62.7337614678899,0.573047967300765
Loxo,Loxo_1,C,6.1,111.771084337349,1.72420168067227,2.4064313964016923,48.9389915966387,0.487046784873126
Loxo,Loxo_1,C,7.1,311.048192771084,1.8399703264095,2.328829752218911,41.6390504451039,0.396150713409033
Loxo,Loxo_1,C,8.1,390.89156626506,1.72335025380711,2.381653232524275,44.2095431472081,0.441584891867896
Loxo,Loxo_1,C,9,416.903614457831,1.61591647331787,2.4208049782243264,50.6616705336427,0.529530528871749
Loxo,Loxo_1,C,10,250.433734939759,1.83828178694158,2.288803188902727,25.5468728522337,0.344918200274175
Loxo,Loxo_1,C,11,818.493975903614,1.70570771001151,2.3745718113803096,45.3342922899885,0.46385397600245
Loxo,Loxo_1,C,12,838.265060240964,1.72562645011601,2.346916344749343,40.2587819025522,0.450518138080645
Loxo,Loxo_1,C,13,1840.32530120482,1.68277723258096,2.374354717951065,50.4961089303238,0.483052738103948
Loxo,Loxo_1,C,14,460.012048192771,1.74234521575985,2.2994440061778225,33.6184615384615,0.373580574889064
Loxo,Loxo_1,C,15.1,851.493975903614,1.6713900862069,2.2981287583449155,34.8593857758621,0.396630618722885
Loxo,Loxo_1,C,16,1090.25301204819,1.79631205673759,2.21950141617491,23.7993144208038,0.286405269643634
Loxo,Loxo_1,C,17.1,746.433734939759,1.64457627118644,2.3129160742586565,42.5247820823245,0.455926558816493
